日本語,English,中文,한국語,,タグ説明
207:グラビア撮影:4,,,,,
おほ\I[15]すっげ\I[15],,,,,
こ……これは……水着……,,,,,
ではありませんよね,,,,,
まぁまぁ、細かいことはいいじゃない,,,,,
あの…ちょっと待って…,,,,,
に…乳輪が………はみ出て……,,,,,
ダイジョブ！ダイジョブ！,,,,,
ちゃんと修正しとくから！,,,,,
そ、そういう問題では……,,,,,
ほらほら、笑顔笑顔！,,,,,
仏頂面じゃいつまでたっても終わらないぞォ～？,,,,,
ぐっ………わ、わかりました,,,,,
"読者の\RB[男性器,おとこ]を想像して！ほら！",,,,,
ふぅーー……,,,,,
こ、こんな感じでしょうか……,,,,,
おお～～～っ！グゥ～～～ッッド！,,,,,
うへへへ……最高に輝いてるよ！\N[1]ちゃん！,,,,,
（ん……？なんだかカメラマンの視線がずっと胸に……）,,,,,
\fs[40]や”っ……やだ！？,,,,,
おお～～～っと！そのまま！そのまま！,,,,,
ちょ…！まっ……撮らないで！！,,,,,
"くっ……ちゃんと修正""してくださいよ……！""",,,,,
オ～～！恥じらう顔もいいねぇ～～～！,,,,,
（この仕事を選んだのは失敗でした…！）,,,,,
さぁ、胸を張って！,,,,,
こ…こうでしょうか…,,,,,
お～～、いいねぇ……！,,,,,
ほら、読者が目の前にいると思って！,,,,,
はぁ～～い\I[15],,,,,
み、皆様、ごきげんよう\I[15],,,,,
い、いい加減にしなさい！,,,,,

207:グラビア撮影:5,,,,,
（あ……あ…ありえません………こんな……恰好で……）,,,,,
（……こ、これも……路銀のため……）,,,,,
（は、恥ずかしい………死ぬほど………）,,,,,
うっわ～\I[15] エロいよぉ、\N[1]ちゃん,,,,,
もしかして人前で裸になるの結構慣れてるカンジ？,,,,,
そ、そんなわけないでしょう……！,,,,,
ほうほう……,,,,,
（本当に慣れてなさそうだな……）,,,,,
（これは良い表情が撮れそうだ\I[15]）,,,,,
（そこそこ……なんて言えるわけありませんね）,,,,,
（なんか嘘臭いな……）,,,,,
（露出趣味に目覚めかけてるってところか？\I[15]）,,,,,
（露出が好きなんて……口が裂けても言えません……）,,,,,
そ、そんなわけ……,,,,,
はい、うそ～～～\I[15],,,,,
もうヌレヌレになってるからバレバレなんだよねぇ\I[15],,,,,
かなり露出好きっしょ、\N[1]ちゃん\I[15],,,,,
馬鹿馬鹿しい……勝手に決めつけないで下さい,,,,,
ほらほら、腰ヘコってもいいよ\I[15],,,,,
"\RB[女性器,おまんこ]のクレヴァスが",,,,,
ガッツリ見えてるよぉ～～～\I[15],,,,,
ほら、君の体で読者がおちんちんしごきあげるの想像してごらん\I[15],,,,,
……最低,,,,,
気持ちよく精子飛ばせるようにもっとサービスして！\I[15],,,,,
………お断りします,,,,,
無駄口を叩いてないでさっさと撮影を済ませてください,,,,,
オー！ノー！,,,,,
無駄口だなんて酷いなぁ！,,,,,
モデルの羞恥心を引き出して気分を盛り上げてるっていうのに！,,,,,
いわばこれはモデルとカメラマンの前戯！セックスなんだよ！？,,,,,
ほら…！君の未成熟なパトスをシャッターで捉えさせてくれ！,,,,,
はいはい……わかりました,,,,,
（あ～もう……なんなんですか……このカメラマン…！）,,,,,
あ、もしかして\N[1]ちゃん,,,,,
気持ちよくなってきちゃったかなぁ？\I[15],,,,,
（ねちっこくて……）,,,,,
そうそう、セックスする時の顔になってるよぉ～～！,,,,,
（スケベな目つきで……）,,,,,
"\RB[陰核,クリ]勃起しちゃってるけど大丈夫？\I[15]",,,,,
（変なことばかり聞いてくるし……）,,,,,
ほら\I[15] 読者の皆にトロ顔見せつけてあげよっか\I[15],,,,,
（本当に不愉快……）,,,,,
（あっれ……？\I[15]何か……熱いのがこみあげて……！）,,,,,
（だめっ\I[15]おトイレっ…！間に合わないっっ\I[15]）,,,,,
（甘イキしたな\I[15]）,,,,,
（裸で写真撮られただけで軽く潮吹いてやがる\I[15]）,,,,,
ちょ…ちょっとタイム……,,,,,
お手洗い……,,,,,
休憩…入れてもらっていいですか？,,,,,
はーーーい、一旦休憩入りまーす,,,,,
（あ、こいつトイレで軽く弄るつもりだな）,,,,,

207:猟奇カメラマン:1,,,,,
パブで知り合った気弱なダンジョン測量士ペーター,,,,,
私は彼の提案に乗り、バディを組むことにしました,,,,,
全ては巧妙に張り巡らされた罠とも知らず……,,,,,
一章 女狩り,,,,,
気弱なお人よしの皮をかぶり油断させ、,,,,,
女性をゴブリンの巣へ陥れ、行為を写真に収める最悪の外道…,,,,,
それが奴の本性でした,,,,,

207:猟奇カメラマン:2,,,,,
い、いよいよだ…！,,,,,
"\RB[開始,はじ]まるぞ………ッ！",,,,,
ゴブリンは\N[1]の手足に鉄製の拘束具をはめた,,,,,
ゴブリンは瞬く間に\N[1]の衣服を引き裂き、,,,,,
素っ裸にしてしまった,,,,,
はぁ……はぁ……はなしなさい…ッ！,,,,,
ピギーーーーゥピギピギ！！,,,,,
ゴブリンが奇声をあげると,,,,,
\N[1]のけばけばしい色の濃厚な臭いを放つ茸汁が配膳された,,,,,
たくましくそそり立つキノコはツンとくる据えた,,,,,
アンモニア臭を放ち、\N[1]の嗅覚を刺激した,,,,,
や……やだぁ……！,,,,,
（強烈なアンモニア臭……）,,,,,
（うっ……洗ってないおチンチンみたいな臭いが）,,,,,
（臭いを嗅いでるだけで頭がクラクラしてきました……）,,,,,
ゴブリンは何かを訴えかけるように皿を指さし吠えた,,,,,
こ、このキノコをどうしろというのですか……,,,,,
ふふ、ゴブリンに捕えられた人間が辿る末路は３つだ,,,,,
一つは、食料……,,,,,
奴らにとっては人肉は貴重な食糧だからね,,,,,
転がってる骨は全部それだ,,,,,
二つ目は、娯楽……,,,,,
巣の奥でむごたらしい死体を見ただろ？,,,,,
あれがゴブリン流の”娯楽”ってわけさ,,,,,
そして三つ目が、ペット……,,,,,
おめでとう、\N[1]ちゃん,,,,,
そのエサは、\N[1]ちゃんがペットとして迎え入れられた証だ,,,,,
奴らの機嫌が変わらないうちに従った方がいいと思うなぁ？,,,,,
黙りなさい……下衆め…！,,,,,
（この状況で抵抗すれば何をされるかわかりません…）,,,,,
（ここは彼らの機嫌を損ねずに時間稼ぎをし、,,,,,
隙が生まれるのを待ちましょう）,,,,,
\C[6][亜人語通訳]\C[0]「オ前ハ、食イシン坊ッポイカラ,,,,,
オオメニイレテヤッタゾ、感謝シロ」,,,,,
ピギ～～～ッ？ピッギピギ！,,,,,
ハァ…ハァ……それでは…うっ………,,,,,
い……頂きます……,,,,,
ぷじゅ……んふぉ……！？,,,,,
うぉっ…いった！すんげぇひょっとこ面…！,,,,,
ウヴ……ッ……ぶじゅる……ゲェ”ェ”……！,,,,,
うわぁ～……すんげぇ食いっぷり……イカれてるわ……,,,,,
\N[1]は押さえつけられ息継ぎもままならぬまま、,,,,,
得体のしれないスープを一気にすすり上げた,,,,,
口の中に広がる奇妙な食感、吐き気を催す濃厚な酸い臭いが,,,,,
\N[1]の鼻孔を犯し、食道から胃に浸透していく……,,,,,
ブッポ……ブッポッ……じゅる……オ”ェ”……！,,,,,
むぐぐ……！,,,,,
（このキノコ…かみ切れない……！弾力がありすぎて…！）,,,,,
（う”っ…傘が…喉奥を突いて…）,,,,,
エグッッ！！！ヴォエェ！！,,,,,
（えづく……）,,,,,
（あ…頭がクラクラする……）,,,,,
（このひどすぎる臭いのせいでしょうか……）,,,,,
（これ……食べても大丈夫なものなのでしょうか…？）,,,,,
（思考がままならない……何か変な成分が入ってるんじゃ…）,,,,,
\N[1]は脳がじわじわと麻痺していくような、酩酊感を覚えた,,,,,
（喉が焼けるように熱い……舌先がピリピリして…）,,,,,
んっ……じゅっぽじゅっぽ……じゅぷぅ……,,,,,
（頭がぼーっとしてきました…）,,,,,
（なにもかんがえられない…）,,,,,
（いまはこのスープを飲み干すこと以外何も…）,,,,,
ぷはぁ……！,,,,,
はぁ……はぁ……オエェェ……,,,,,
お、お望み通り……飲み干しましたよ……,,,,,
ピギッギッピギッギッ！,,,,,
ゴブリンは食器を片づけると,,,,,
おもむろに\N[1]に目隠しをしだした,,,,,
あっ……何を……！,,,,,
しばらくしてーーー,,,,,
ふぅー…\I[15]ふぅー…\I[15]ふぅー…\I[15],,,,,
んっ…\I[15] くぅ………\I[15],,,,,
体をよじらせて…くねらせて…艶めかしい吐息が漏れ出す,,,,,
……だいぶ回ってきたな,,,,,
（おかしい………）,,,,,
（頭がぼーっとして……）,,,,,
（さっきから……体が燃えるように熱い……）,,,,,
（いや……正確に言うと……）,,,,,
（性器が……っ！）,,,,,
\N[1]の恥部はレオタードに大きなシミができるほどに,,,,,
じっとりと湿っていた,,,,,
んっ…\I[15]くぅぅー……\I[15],,,,,
（乳首も…陰核も…びんびんに勃起してるのがわかる…！）,,,,,
（布が軽く擦れただけで………絶頂しそうになる…！）,,,,,
（熱をもって…気が狂いそうなほどに疼いてる…）,,,,,
んっ…くふぅ\I[15]……屈しませんよっ……,,,,,
こんな……卑劣な手には……っ,,,,,
（全身に鳥肌が立って……ゾクゾクしてる…）,,,,,
（い、今から……何をされてしまうんですか……私っ……）,,,,,
（こんな状況なのに…馬鹿げた考えが…止まらない！）,,,,,
（破廉恥な考えで……”私”が塗りつぶされていく……！）,,,,,
（正気が保てない……気が……狂いそうです…！）,,,,,
ふぅーー\I[15]ふぅーー\I[15],,,,,
つ、次は……な……なんですか……,,,,,
"一匹のゴブリンがイキリ\RB[勃,た]つ\RB[陰茎,ペニス]を",,,,,
\N[1]の眼前につきつけた,,,,,
洗っていない蒸れたペニスの臭いが\N[1]の鼻孔をツンとつく,,,,,
んっ………くっ…\I[15],,,,,
ふん……芸がないですね……,,,,,
ま…またさっきの”キノコ”…ですか…？,,,,,
そんなの……いくら食べさせられたって……平気ですから…,,,,,
んっ…\I[15]スゥゥゥーーー……ハァ…\I[15],,,,,
くっさぁ……\I[15],,,,,
馬鹿じゃないですか…何度やっても同じです\I[15],,,,,
ハッ…\I[15]ハッ…\I[15]ハッ…\I[15],,,,,
ふふ、君が食べたキノコは幻覚と催淫効果のある,,,,,
トビカクセイダケだ,,,,,
"\RB[洗脳媚薬,クスリ]で脳を麻痺させて、",,,,,
"チンポ臭を嗅がせながらじっくり\RB[性処理便器,ペット]に堕とすんだよ",,,,,
ま、もうボクの声は聞こえちゃいないか,,,,,
はぁ～…くっさ\I[15],,,,,
（嗅ぐの止められないんですけど……\I[15]）,,,,,
（この”キノコ”の臭い嗅いでると……体が疼く…）,,,,,
た……,,,,,
た、食べさせるなら………は…はやく……してください…,,,,,
ほら……口開けてるんですから……,,,,,
ゴブリン共がわいてきやがったということは、,,,,,
”仕上がった”な…,,,,,
"いよいよだ……\RB[開始,はじ]まるぞっ……！",,,,,
倒錯した男は一人ぶつぶつとつぶやきながら、,,,,,
格子の外で陰茎をしごきシャッターを切っている,,,,,
はぁ～……\I[15]はぁ～……\I[15],,,,,
あ……\I[15]やっぱり隠し持ってたじゃないですかぁ…\I[15],,,,,
キノコ\I[15],,,,,
へっ…\I[15]へっ…\I[15]へっ…\I[15],,,,,
チンポ咥えろ！\N[1]！,,,,,
はぁ？これがチンポなわけないじゃないですか…\I[15],,,,,
これはキノコですよ\I[15]全く…\I[15],,,,,
あ～～～イライラしてきました…もう我慢できない…\I[16],,,,,
チンポ\I[16]チンポ\I[16]チンポ\I[16]チンポ\I[16],,,,,
フェラチオで口火を切れ！,,,,,
"\fs[35]\RB[輪姦,まわ]されろッッ！",,,,,
いただきま～～～す\I[15],,,,,
突如鳴り響いた轟雷のような銃声ーー,,,,,
ゴブリンの脳漿が木っ端みじんに弾け飛ぶと同時に,,,,,
ペニスから勢いよく最後の精子が発射された,,,,,
ほ、ほぇ……？,,,,,
あ、あれ……？今、私…何を……,,,,,

207:卑屈のエド:1,,,,,
私の後ろをつけていた男、エド,,,,,
彼は下卑た笑みを浮かべながら、ある提案を持ち掛けてきました,,,,,
一章 ギブアンドテイク【顔射編】,,,,,
en(s[740])二章 ギブアンドテイク【精飲編】,,,,,
en(s[741])三章 ギブアンドテイク【フェラチオ編】,,,,,
en(s[742])四章 セックスパートナー【性交編】,,,,,
テントの中へ案内するエド,,,,,
